line,from_station,to_station,seconds,kind
5,상일동,고덕,100,ride
5,상일동,강일,110,ride
5,강일,상일동,110,ride
5,강일,미사,110,ride
5,미사,강일,110,ride
5,미사,하남풍산,150,ride
5,하남풍산,미사,150,ride
5,하남풍산,하남시청,110,ride
5,하남시청,하남풍산,110,ride
5,하남시청,하남검단산,150,ride
5,하남검단산,하남시청,150,ride
5,하남검단산,둔촌동,110,ride
5,둔촌동,하남검단산,110,ride
5,둔촌동,올림픽공원,100,ride
5,올림픽공원,둔촌동,100,ride
5,올림픽공원,방이,80,ride
5,방이,올림픽공원,80,ride
5,방이,오금,80,ride
5,오금,방이,80,ride
5,오금,개롱,70,ride
5,개롱,오금,70,ride
5,개롱,거여,80,ride
5,거여,개롱,80,ride
5,거여,마천,90,ride
5,마천,거여,90,ride
6,응암,역촌,100,ride
6,역촌,응암,100,ride
6,역촌,불광,80,ride
6,불광,역촌,80,ride
6,불광,독바위,80,ride
6,독바위,불광,80,ride
6,독바위,연신내,130,ride
6,연신내,독바위,130,ride
6,연신내,구산,80,ride
6,구산,연신내,80,ride
6,구산,응암,120,ride
6,응암,구산,120,ride
6,응암,새절,80,ride
6,새절,응암,80,ride
6,새절,증산,80,ride
6,증산,새절,80,ride
6,증산,디지털미디어시티,80,ride
6,디지털미디어시티,증산,80,ride
6,디지털미디어시티,월드컵경기장,70,ride
6,월드컵경기장,디지털미디어시티,70,ride
6,월드컵경기장,마포구청,70,ride
6,마포구청,월드컵경기장,70,ride
6,마포구청,망원,80,ride
6,망원,마포구청,80,ride
6,망원,합정,80,ride
6,합정,망원,80,ride
6,합정,상수,70,ride
6,상수,합정,70,ride
6,상수,광흥창,70,ride
6,광흥창,상수,70,ride
6,광흥창,대흥,90,ride
6,대흥,광흥창,90,ride
6,대흥,공덕,80,ride
6,공덕,대흥,80,ride
6,공덕,효창공원앞,80,ride
6,효창공원앞,공덕,80,ride
6,효창공원앞,삼각지,90,ride
6,삼각지,효창공원앞,90,ride
6,삼각지,녹사평,100,ride
6,녹사평,삼각지,100,ride
6,녹사평,이태원,70,ride
6,이태원,녹사평,70,ride
6,이태원,한강진,90,ride
6,한강진,이태원,90,ride
6,한강진,버티고개,90,ride
6,버티고개,한강진,90,ride
6,버티고개,약수,70,ride
6,약수,버티고개,70,ride
6,약수,청구,70,ride
6,청구,약수,70,ride
6,청구,신당,70,ride
6,신당,청구,70,ride
6,신당,동묘앞,60,ride
6,동묘앞,신당,60,ride
6,동묘앞,창신,80,ride
6,창신,동묘앞,80,ride
6,창신,보문,70,ride
6,보문,창신,70,ride
6,보문,안암,70,ride
6,안암,보문,70,ride
6,안암,고려대,70,ride
6,고려대,안암,70,ride
6,고려대,월곡,100,ride
6,월곡,고려대,100,ride
6,월곡,상월곡,70,ride
6,상월곡,월곡,70,ride
6,상월곡,돌곶이,70,ride
6,돌곶이,상월곡,70,ride
6,돌곶이,석계,80,ride
6,석계,돌곶이,80,ride
6,석계,태릉입구,70,ride
6,태릉입구,석계,70,ride
6,태릉입구,화랑대,70,ride
6,화랑대,태릉입구,70,ride
6,화랑대,봉화산,80,ride
6,봉화산,화랑대,80,ride
6,봉화산,신내역,270,ride
6,신내역,봉화산,270,ride
7,장암,도봉산,270,ride
7,도봉산,장암,270,ride
7,도봉산,수락산,140,ride
7,수락산,도봉산,140,ride
7,수락산,마들,120,ride
7,마들,수락산,120,ride
7,마들,노원,90,ride
7,노원,마들,90,ride
7,노원,중계,80,ride
7,중계,노원,80,ride
7,중계,하계,70,ride
7,하계,중계,70,ride
7,하계,공릉,90,ride
7,공릉,하계,90,ride
7,공릉,태릉입구,60,ride
7,태릉입구,공릉,60,ride
7,태릉입구,먹골,70,ride
7,먹골,태릉입구,70,ride
7,먹골,중화,80,ride
7,중화,먹골,80,ride
7,중화,상봉,110,ride
7,상봉,중화,110,ride
7,상봉,면목,70,ride
7,면목,상봉,70,ride
7,면목,사가정,70,ride
7,사가정,면목,70,ride
7,사가정,용마산,70,ride
7,용마산,사가정,70,ride
7,용마산,중곡,80,ride
7,중곡,용마산,80,ride
7,중곡,군자,80,ride
7,군자,중곡,80,ride
7,군자,어린이대공원,80,ride
7,어린이대공원,군자,80,ride
7,어린이대공원,건대입구,80,ride
7,건대입구,어린이대공원,80,ride
7,건대입구,자양,90,ride
7,자양,건대입구,90,ride
7,자양,청담,150,ride
7,청담,자양,150,ride
7,청담,강남구청,90,ride
7,강남구청,청담,90,ride
7,강남구청,학동,70,ride
7,학동,강남구청,70,ride
7,학동,논현,80,ride
7,논현,학동,80,ride
7,논현,반포,70,ride
7,반포,논현,70,ride
7,반포,고속터미널,90,ride
7,고속터미널,반포,90,ride
7,고속터미널,내방,150,ride
7,내방,고속터미널,150,ride
7,내방,이수,90,ride
7,이수,내방,90,ride
7,이수,남성,80,ride
7,남성,이수,80,ride
7,남성,숭실대입구,150,ride
7,숭실대입구,남성,150,ride
7,숭실대입구,상도,70,ride
7,상도,숭실대입구,70,ride
7,상도,장승배기,150,ride
7,장승배기,상도,150,ride
7,장승배기,신대방삼거리,110,ride
7,신대방삼거리,장승배기,110,ride
7,신대방삼거리,보라매,70,ride
7,보라매,신대방삼거리,70,ride
7,보라매,신풍,140,ride
7,신풍,보라매,140,ride
7,신풍,대림,120,ride
7,대림,신풍,120,ride
7,대림,남구로,90,ride
7,남구로,대림,90,ride
7,남구로,가산디지털단지,80,ride
7,가산디지털단지,남구로,80,ride
7,가산디지털단지,철산,120,ride
7,철산,가산디지털단지,120,ride
7,철산,광명사거리,110,ride
7,광명사거리,철산,110,ride
7,광명사거리,천왕,120,ride
7,천왕,광명사거리,120,ride
7,천왕,온수,140,ride
7,온수,천왕,140,ride
8,암사역사공원,암사,90,ride
8,암사,암사역사공원,90,ride
8,암사,천호,90,ride
8,천호,암사,90,ride
8,천호,강동구청,80,ride
8,강동구청,천호,80,ride
8,강동구청,몽촌토성,120,ride
8,몽촌토성,강동구청,120,ride
8,몽촌토성,잠실,70,ride
8,잠실,몽촌토성,70,ride
8,잠실,석촌,110,ride
8,석촌,잠실,110,ride
8,석촌,송파,70,ride
8,송파,석촌,70,ride
8,송파,가락시장,70,ride
8,가락시장,송파,70,ride
8,가락시장,문정,70,ride
8,문정,가락시장,70,ride
8,문정,장지,70,ride
8,장지,문정,70,ride
8,장지,복정,70,ride
8,복정,장지,70,ride
8,복정,남위례,110,ride
8,남위례,복정,110,ride
8,남위례,산성,100,ride
8,산성,남위례,100,ride
8,산성,남한산성입구,130,ride
8,남한산성입구,산성,130,ride
8,남한산성입구,단대오거리,70,ride
8,단대오거리,남한산성입구,70,ride
8,단대오거리,신흥,70,ride
8,신흥,단대오거리,70,ride
8,신흥,수진,70,ride
8,수진,신흥,70,ride
8,수진,모란,90,ride
8,모란,수진,90,ride
