연번,선명,역명,소요시간,역간거리(km),호선별누계(km),역명_clean,전역,전역_clean
259,7호선,천왕,120,1.7,45.4,천왕,광명사거리,광명사거리
260,7호선,온수,140,1.5,46.9,온수,천왕,천왕
261,8호선,암사역사공원,0,0.0,0.0,암사역사공원,,
262,8호선,암사,90,1.1,1.1,암사,암사역사공원,암사역사공원
263,8호선,천호,90,1.3,2.4,천호,암사,암사
264,8호선,강동구청,80,0.9,3.3,강동구청,천호,천호
265,8호선,몽촌토성,120,1.6,4.9,몽촌토성,강동구청,강동구청
266,8호선,잠실,70,0.8,5.7,잠실,몽촌토성,몽촌토성
267,8호선,석촌,110,1.2,6.9,석촌,잠실,잠실
268,8호선,송파,70,0.9,7.8,송파,석촌,석촌
269,8호선,가락시장,70,0.8,8.6,가락시장,송파,송파
270,8호선,문정,70,0.9,9.5,문정,가락시장,가락시장
271,8호선,장지,70,0.9,10.4,장지,문정,문정
272,8호선,복정,70,0.9,11.3,복정,장지,장지
273,8호선,남위례,110,1.5,12.8,남위례,복정,복정
274,8호선,산성,100,1.2,14.0,산성,남위례,남위례
275,8호선,남한산성입구,130,1.3,15.3,남한산성입구,산성,산성
276,8호선,단대오거리,70,0.8,16.1,단대오거리,남한산성입구,남한산성입구
277,8호선,신흥,70,0.8,16.9,신흥,단대오거리,단대오거리
278,8호선,수진,70,0.9,17.8,수진,신흥,신흥
279,8호선,모란,90,1.0,18.8,모란,수진,수진
